t	x	y
0.00	0.00	0.2378
0.25	0.53	-0.2352
0.50	1.05	-0.5394
0.75	1.58	-0.7024
1.00	2.10	-0.7728
1.25	2.63	-0.8894
1.50	3.15	-0.9452
1.75	3.68	-0.9418
2.00	4.20	-0.8622
2.25	4.73	-0.8470
2.50	5.25	-0.7882
2.75	5.78	-0.7715
3.00	6.30	-0.7013
3.25	6.83	-0.6600
3.50	7.35	-0.6417
3.75	7.88	-0.5980
4.00	8.40	-0.5608
4.25	8.93	-0.5024
4.50	9.45	-0.4357
4.75	9.98	-0.3693
5.00	10.50	-0.3841
5.25	11.03	-0.3580
5.50	11.55	-0.3178
5.75	12.08	-0.2980
6.00	12.60	-0.2687
6.25	13.13	-0.2060
6.50	13.65	-0.2036
6.75	14.18	-0.2269
7.00	14.70	-0.2194
7.25	15.23	-0.1956
7.50	15.75	-0.1721
7.75	16.28	-0.1759
8.00	16.80	-0.1186
8.25	17.33	-0.1339
8.50	17.85	-0.0678
8.75	18.38	-0.1032
9.00	18.90	-0.0612
9.25	19.43	-0.0740
9.50	19.95	-0.0802
9.75	20.48	-0.0645
10.00	21.00	-0.0703
10.25	21.53	-0.0723
10.50	22.05	-0.0914
10.75	22.58	-0.0934
11.00	23.10	-0.0801
11.25	23.63	-0.0236
11.50	24.15	0.0035
11.75	24.68	-0.0713
12.00	25.20	-0.0226
12.25	25.73	0.0305
12.50	26.25	-0.0359
12.75	26.78	-0.0227
13.00	27.30	-0.0387
13.25	27.83	-0.0185
13.50	28.35	0.0025
13.75	28.88	0.0077
14.00	29.40	-0.0464
14.25	29.93	0.0399
14.50	30.45	0.0223
14.75	30.98	0.0015
15.00	31.50	0.0594
15.25	32.03	-0.0513
15.50	32.55	-0.0111
15.75	33.08	-0.0228
16.00	33.60	-0.0395
16.25	34.13	0.0162
16.50	34.65	-0.0297
16.75	35.18	0.0159
17.00	35.70	0.0187
17.25	36.23	-0.0178
17.50	36.75	-0.0304
17.75	37.27	-0.0310
18.00	37.80	0.0004
18.25	38.32	-0.0009
18.50	38.85	0.0083
18.75	39.37	0.0102
19.00	39.90	0.0062
19.25	40.42	-0.0112
19.50	40.95	-0.0293
19.75	41.47	-0.0275
20.00	42.00	-0.0020
20.25	42.52	-0.0085
20.50	43.05	0.0174
20.75	43.57	0.0001
21.00	44.10	-0.0327
21.25	44.62	0.0125
21.50	45.15	0.0200
21.75	45.67	0.0552
22.00	46.20	0.0191
22.25	46.72	-0.0336
22.50	47.25	0.0175
22.75	47.77	0.0082
23.00	48.30	0.0019
23.25	48.82	0.0639
23.50	49.35	0.0236
23.75	49.87	0.0337
24.00	50.40	0.0199
24.25	50.92	-0.0193
24.50	51.45	-0.0260
24.75	51.97	-0.0422
25.00	52.50	-0.0074
