Wellname	date	Oil, MSTB	Water, MSTB	Gas, MMSCF	BHP, PSIA
W1	2011	122.737	0.091	149.601	2788.088
W1	2012	134.066	0.098	164.067	3537.724
W1	2013	134.803	0.098	164.808	3857.96
W1	2014	134.435	0.099	163.46	3839.546
W1	2015	134.435	0.098	163.433	3838.885
W1	2016	134.435	0.096	164.239	3854.758
W1	2017	134.803	0.094	166.245	3905.668
W1	2018	134.435	0.108	221.535	3890.414
W1	2019	90.394	0.093	226.429	2562.473
W1	2020	83.228	0.078	187.552	2598.538
W1	2021	53.983	0.049	117.882	1937.528
W1	2022	46.506	0.044	112.437	3891.982
W1	2023	49.794	0.046	117.624	1958.502
W1	2024	45.341	0.042	107.622	0
W1	2025	0.238	0	0.562	0
W2	2011	79.729	0.052	98.324	1802.733
W2	2012	44.251	0.029	62.679	3662.653
W2	2013	44.494	0.031	79.606	3996.285
W2	2014	31.15	0.023	73.733	2986.728
W2	2015	0	0	0	0
W2	2016	0	0	0	0
W2	2017	0	0	0	0
W2	2018	0	0	0	0
W2	2019	0	0	0	0
W2	2020	0	0	0	0
W2	2021	0	0	0	0
W2	2022	0	0	0	0
W2	2023	0	0	0	0
W2	2024	0	0	0	0
W2	2025	0	0	0	0
W3	2011	189.337	1.495	232.369	2148.074
W3	2012	405.464	1.889	499.227	3859.497
W3	2013	366.382	1.19	452.795	3901.918
W3	2014	401.99	0.989	497.574	3919.759
W3	2015	397.991	0.758	492.982	3953.067
W3	2016	374.84	0.588	498.448	3991.17
W3	2017	333.3	0.472	521.859	4025.166
W3	2018	329.444	0.444	539.649	4020.293
W3	2019	329.008	0.414	700.825	4006.692
W3	2020	306.486	0.367	754.36	3999.396
W3	2021	286.174	0.328	776.001	4015.367
W3	2022	291.892	0.343	928.051	3964.663
W3	2023	311.664	0.362	1143.577	3939.989
W3	2024	322.309	0.343	1491.747	3865.101
W3	2025	309.895	0.296	1568.607	3865.551
W4	2011	399.598	1.908	495.27	3848.709
W4	2012	514.511	1.592	749.224	3735.215
W4	2013	465.454	1.083	931.511	3702.46
W4	2014	473.095	0.8	1286.41	3659.529
W4	2015	437.309	0.523	1443.696	3656.752
W4	2016	411.415	0.353	1449.098	3681.571
W4	2017	378.59	0.25	1382.599	3733.543
W4	2018	361.057	0.201	1424.025	3737.905
W4	2019	344.161	0.167	1440.052	3738.742
W4	2020	317.751	0.135	1376.334	3764.098
W4	2021	299.175	0.114	1296.342	3808.099
W4	2022	285.208	0.104	1285.79	3769.19
W4	2023	284.613	0.101	1433.589	3777.292
W4	2024	279.856	0.093	1548.535	3731.448
W4	2025	268.139	0.082	1502.242	3750.375
W5	2011	460.398	1.549	612.688	3548.713
W5	2012	523.991	1.213	1386.778	3797.471
W5	2013	390.269	0.629	2315.145	3694.708
W5	2014	248.338	0.227	1590.428	2465.857
W5	2015	183.749	0.119	887.083	1248.512
W5	2016	165.299	0.11	961.397	1559.975
W5	2017	201.718	0.122	1095.751	2232.794
W5	2018	153.076	0.087	794.345	1271.072
W5	2019	130.995	0.074	687.005	1276.175
W5	2020	120.733	0.07	677.746	1583.474
W5	2021	117.022	0.07	685.34	3925.455
W5	2022	125.044	0.073	707.83	0
W5	2023	114.512	0.067	653.371	0
W5	2024	111.341	0.066	642.956	0
W5	2025	117.528	0.069	677.021	3872.968
W6	2011	0	0	0	0
W6	2012	0	0	0	0
W6	2013	467.501	0	582.76	3750.455
W6	2014	516.063	0	772.168	4120.711
W6	2015	510.929	0	1384.48	4147.117
W6	2016	481.209	0.001	2053.258	4168.73
W6	2017	427.88	0.001	2465.305	4180.217
W6	2018	240.574	0	1091.069	2441.182
W6	2019	181.679	0	716.412	1742.478
W6	2020	261.858	0	1059.294	2786.01
W6	2021	157.318	0	792.688	4174.415
W6	2022	215.29	0	969.102	0
W6	2023	137.255	0	627.959	4165.066
W6	2024	146.089	0	718.199	4176.876
W6	2025	154.761	0	747.214	0
